"24-HOUR MAN/EMMANUEL"	"AA2 35"
"ALRAUNE, MARLENE"	"MK3 23"
"ALRAUNE, MARLENE"	"MK3 25"
"ALRAUNE, MARLENE"	"MK3 26"
"ALRAUNE, MARLENE"	"MK3 28"
"ALRAUNE, MARLENE"	"MK3 29"
"ALRAUNE, MARLENE"	"MK3 3"
"ALRAUNE, MARLENE"	"MK3 31"
"ALRAUNE, MARLENE"	"MK3 32"
"ALRAUNE, MARLENE"	"MK3 33"
"ALRAUNE, MARLENE"	"MK3 34"
"ALRAUNE, MARLENE"	"MK3 35"
"ALRAUNE, MARLENE"	"MK3 38"
"ALRAUNE, MARLENE"	"MK3 4"
"ALRAUNE, MARLENE"	"MK3 5"
"ALRAUNE, MARLENE"	"MK4 1"
"ALRAUNE, MARLENE"	"MK4 2"
"ALRAUNE, MARLENE"	"MK4 3"
"ALRAUNE, MARLENE"	"MK4 4"
"ALRAUNE, MARLENE"	"PM&IF 87"
"ALRAUNE, MARLENE"	"PPTSS 23"
"ALVAREZ, CARLY"	"UX 338"
"ALVAREZ, CARLY"	"UX 340"
"ALVAREZ, CARLY"	"X 59"
"ALVAREZ, FELIX"	"FW 8"
"ALVAREZ, FELIX"	"IM 238"
"ALVAREZ, FELIX"	"IM 239"
"ALVAREZ, FELIX"	"IM 241"
"ALVAREZ, FELIX"	"IM 242"
"ALVAREZ, FELIX"	"IM 243"
"ALVAREZ, FELIX"	"IM 245"
"ALVAREZ, FELIX"	"IM 246"
"ALVAREZ, FELIX"	"IM 247"
"ALVAREZ, FELIX"	"IM 248"
"ALVAREZ, FELIX"	"IM 256"
"ALVAREZ, FELIX"	"IM 281"
"ALVAREZ, FELIX"	"IM 283"
"ALVAREZ, FELIX"	"IM 284"
"ALVAREZ, FELIX"	"IM 285"
"ALVAREZ, FELIX"	"IM 286"
"ALVAREZ, FELIX"	"IM 306"
"ALVAREZ, FELIX"	"IM 310"
"ALVAREZ, FELIX"	"WARM 8"
"ALVAREZ, PAUL"	"FFOR 16"
"ALVAREZ, PAUL"	"FFOR 2"
"ALVAREZ, PAUL"	"FFOR 3"
"ALVAREZ, PAUL"	"FFOR 5"
"ALVAREZ, PAUL"	"FFOR 8"
"ALVAREZ, PAUL"	"FFOR 9"
"AMAZO-MAXI-WOMAN/"	"REMNANTS"
"AMAZON"	"HFH 12"
"AMENHOTEP"	"A 353"
"AMENHOTEP"	"A 354"
"AMERICAN EAGLE II/JA"	"A 85"
"AMERICAN EAGLE III/J"	"COC 3"
"AMERICAN EAGLE III/J"	"H2 279"
"AMERICAN EAGLE III/J"	"M/CP 27/4"
"AMERICAN EAGLE III/J"	"M/TIO@ 6"
"AMERICAN EAGLE III/J"	"ROM 65"
"AMERICAN SAMURAI/"	"ELEK 11"
"AMERICAN SAMURAI/"	"ELEK 12"
"AMERICAN SAMURAI/"	"ELEK 13"
"AMERICOP/"	"CA 428"
"AMERICOP/"	"CA 429"
"AMERICOP/"	"CA 430"
"AMIKO"	"ELEK 15"
"AMIKO"	"KP&W 5"
"AMIKO"	"UX 181"
"AMIKO"	"W2 150"
"AMIKO"	"W2 151"
"AMIKO"	"W2 152"
"AMIKO"	"W2 153"
"AMIKO"	"W2 158"
"AMIKO"	"W2 82"
"AMINEDI"	"NM@ 7/2"
"AMINEDI"	"UX@ 15/2"
"AMINEDI"	"XF@ 6/2"
"AMPERE/"	"A 377"
"AMPHARON"	"DEF2 2"
"AMPHIBIAN/KINGLEY RI"	"A 148"
"AMPHIBIAN/KINGLEY RI"	"A 149"
"AMPHIBIAN/KINGLEY RI"	"AWC@ 4/5"
"AMPHIBIAN/KINGLEY RI"	"DEF 112"
"AMPHIBIAN/KINGLEY RI"	"DEF 113"
"AMPHIBIAN/KINGLEY RI"	"DEF 114"
"AMPHIBIAN/KINGLEY RI"	"SQS 1"
"AMPHIBIAN/KINGLEY RI"	"SQS 2"
"AMPHIBIAN/KINGLEY RI"	"SQS 3"
"AMPHIBIAN/KINGLEY RI"	"SQS 4"
"AMPHIBIAN/KINGLEY RI"	"SQS 5"
"AMPHIBIAN/KINGLEY RI"	"SQS 6"
"AMPHIBIAN/KINGLEY RI"	"SQS:NWO"
"AMPHIBIUS"	"A 105"
"AMPHIBIUS"	"M/FAN 1"
"AMPHIBIUS"	"M/FAN 2"
"AMPHIBIUS"	"M/FAN 3"
"AMPHIBIUS"	"M/FAN 4"
"AMPHIBIUS"	"UX 249"
"AMPHIBIUS"	"UX 250"
"AMPHIBIUS"	"UX 274"
"AMPHIBIUS"	"UX 62"
"AMPHIBIUS"	"UX 63"
"AMPHIBIUS"	"UX@ 12"
"AMPHIBIUS"	"W2 69"
"AMPHIBIUS"	"X:HY 1"
"AMPHIBIUS"	"X:HY 10"
"AMPHIBIUS"	"X:HY 11"
"AMPHIBIUS"	"X:HY 12"
"AMPHIBIUS"	"X:HY 3"
"AMPHIBIUS"	"X:HY 4"
"ANACONDA/BLANCHE SIT"	"CA 307"
"ANACONDA/BLANCHE SIT"	"CA 308"
"ANACONDA/BLANCHE SIT"	"CA 309"
"ANACONDA/BLANCHE SIT"	"CA 310"
"ANACONDA/BLANCHE SIT"	"CA 311"
"ANACONDA/BLANCHE SIT"	"CA 313"
"ANACONDA/BLANCHE SIT"	"CA 315"
"ANACONDA/BLANCHE SIT"	"CA 319"
"ANACONDA/BLANCHE SIT"	"CA 341"
"ANACONDA/BLANCHE SIT"	"CA 342"
"ANACONDA/BLANCHE SIT"	"CA 343"
"ANACONDA/BLANCHE SIT"	"CA 365/2"
"ANACONDA/BLANCHE SIT"	"CA 367/2"
"ANACONDA/BLANCHE SIT"	"CA 371"
"ANACONDA/BLANCHE SIT"	"CA 380"
"ANACONDA/BLANCHE SIT"	"CA 381"
"ANACONDA/BLANCHE SIT"	"CA 382"
"ANACONDA/BLANCHE SIT"	"CA 385/2"
"ANACONDA/BLANCHE SIT"	"CA 386/2"
"ANACONDA/BLANCHE SIT"	"CA 387"
"ANACONDA/BLANCHE SIT"	"CA 388"
"ANACONDA/BLANCHE SIT"	"CA 389"
"ANACONDA/BLANCHE SIT"	"CA 390"
"ANACONDA/BLANCHE SIT"	"CA 391"
"ANACONDA/BLANCHE SIT"	"CA 403/2"
"ANACONDA/BLANCHE SIT"	"CA 434"
"ANACONDA/BLANCHE SIT"	"CA 435"
"ANACONDA/BLANCHE SIT"	"CA 436"
"ANACONDA/BLANCHE SIT"	"CA 437"
"ANACONDA/BLANCHE SIT"	"IM 160"
"ANACONDA/BLANCHE SIT"	"M/TIO 64"
"ANACONDA/BLANCHE SIT"	"M/TIO 65"
"ANACONDA/BLANCHE SIT"	"UX@ 13"
"ANAIS"	"X:SC 1"
"ANAIS"	"X:SC 2"
"ANAIS"	"X:SC 3"
"ANAIS"	"X:SC 4"
"ANAK"	"FFU 9"
"ANAK"	"T 475"
"ANAK"	"T 476"
"ANAK"	"T 477"
"ANAK"	"T 480"
"ANAK"	"T 481"
"ANAK"	"T 482"
"ANAK"	"T 483"
"ANAK"	"T 484"
"ANAK"	"T 486"
"ANAK"	"T 487"
"ANAK"	"T 488"
"ANAK"	"T 489"
"ANALYZER"	"H2 176"
"ANALYZER"	"H2 178"
"ANALYZER"	"IM 112"
"ANALYZER"	"Q 25"
"ANALYZER"	"T 132"
"ANALYZER"	"T 133"
"ANALYZER"	"T 134"
"ANALYZER"	"T 155"
"ANALYZER"	"T 156"
"ANALYZER"	"T 160"
"ANALYZER"	"T 161"
"ANALYZER"	"T 162"
"ANALYZER"	"T 256"
"ANALYZER"	"T 257"
"ANALYZER"	"T 258"
"ANALYZER"	"T 259"
"ANALYZER"	"T 260"
"ANALYZER"	"T 261"
"ANALYZER"	"T 262"
"ANALYZER"	"T 263"
"ANALYZER"	"T 264"
"ANALYZER"	"T 265"
"ANALYZER"	"T 266"
"ANALYZER"	"T 267"
"ANALYZER"	"T 407"
"ANALYZER"	"T 419"
"ANALYZER"	"T 422"
"ANALYZER"	"T 423"
"ANALYZER"	"T 424"
"ANALYZER"	"T 425"
"ANALYZER"	"T 449/2"
"ANALYZER"	"T 450/2"
"ANALYZER"	"T 482"
"ANALYZER"	"UX 137"
"ANALYZER"	"WLOCK 8"
"ANAMI, HIROSHI"	"AWC 72"
"ANANASTASIA/ANNA"	"DPOOL3 46"
"ANANASTASIA/ANNA"	"DPOOL3 47"
"ANANASTASIA/ANNA"	"DPOOL3 48"
"ANARCHIST/TIKE ALICA"	"XFOR 116"
"ANARCHIST/TIKE ALICA"	"XFOR 117"
"ANCESTOR/"	"FW 6"
"ANCESTOR/"	"FW 7"
"ANCESTOR/"	"IM 312"
"ANCESTOR/"	"WARM 9"
"ANCIENT ONE"	"AF 6/2"
"ANCIENT ONE"	"ASPOT 37"
"ANCIENT ONE"	"DEF 107"
"ANCIENT ONE"	"DRSTR 170"
"ANCIENT ONE"	"DRSTR 174"
"ANCIENT ONE"	"DRSTR 177"
"ANCIENT ONE"	"DRSTR 178"
"ANCIENT ONE"	"DRSTR2 11"
"ANCIENT ONE"	"DRSTR2 12"
"ANCIENT ONE"	"DRSTR2 13"
"ANCIENT ONE"	"DRSTR2 19"
"ANCIENT ONE"	"DRSTR2 26"
"ANCIENT ONE"	"DRSTR2 27"
"ANCIENT ONE"	"DRSTR2 28"
"ANCIENT ONE"	"DRSTR2 4"
"ANCIENT ONE"	"DRSTR2 51"
"ANCIENT ONE"	"DRSTR2 75"
"ANCIENT ONE"	"DRSTR3 23/2"
"ANCIENT ONE"	"DRSTR3 8/2"
"ANCIENT ONE"	"DRSTR3 84"
"ANCIENT ONE"	"DRSTR3 85"
"ANCIENT ONE"	"DRSTR3 87"
"ANCIENT ONE"	"DRSTR3 88"
"ANCIENT ONE"	"DRSTR@ 1"
"ANCIENT ONE"	"DS:WDS"
"ANCIENT ONE"	"M/FEA 1/3"
"ANCIENT ONE"	"M/FEA 2"
"ANCIENT ONE"	"M/PRM 10"
"ANCIENT ONE"	"M/PRM 3"
"ANCIENT ONE"	"M/PRM 4"
"ANCIENT ONE"	"M/PRM 5"
"ANCIENT ONE"	"M/PRM 6"
"ANCIENT ONE"	"M/PRM 8"
"ANCIENT ONE"	"M/PRM 9"
"ANCIENT ONE"	"ST 110/2"
"ANCIENT ONE"	"ST 111/2"
"ANCIENT ONE"	"ST 114/2"
"ANCIENT ONE"	"ST 115/2"
"ANCIENT ONE"	"ST 116/2"
"ANCIENT ONE"	"ST 117/2"
"ANCIENT ONE"	"ST 124/2"
"ANCIENT ONE"	"ST 125/2"
"ANCIENT ONE"	"ST 126/2"
"ANCIENT ONE"	"ST 127/2"
"ANCIENT ONE"	"ST 129/2"
"ANCIENT ONE"	"ST 130/2"
"ANCIENT ONE"	"ST 132/2"
"ANCIENT ONE"	"ST 133/2"
"ANCIENT ONE"	"ST 134/2"
"ANCIENT ONE"	"ST 136/2"
"ANCIENT ONE"	"ST 137/2"
"ANCIENT ONE"	"ST 138/2"
"ANCIENT ONE"	"ST 139/2"
"ANCIENT ONE"	"ST 140/2"
"ANCIENT ONE"	"ST 141/2"
"ANCIENT ONE"	"ST 142/2"
"ANCIENT ONE"	"ST 144/2"
"ANCIENT ONE"	"ST 146/2"
"ANCIENT ONE"	"ST 147/2"
"ANCIENT ONE"	"ST 148"
"ANCIENT ONE"	"ST 148/2"
"ANCIENT ONE"	"ST 149/2"
"ANCIENT ONE"	"ST 150/2"
"ANCIENT ONE"	"ST 153/2"
"ANCIENT ONE"	"ST 155/2"
"ANCIENT ONE"	"ST 156/2"
"ANCIENT ONE"	"ST 157/2"
"ANCIENT ONE"	"ST 166"
"ANCIENT ONE"	"ST 167/2"
"ANCIENT ONE"	"ST 168"
"ANCIENT ONE"	"ST3 11"
"ANCIENT ONE"	"ST3 7/2"
"ANCIENT ONE"	"UTSM:SE"
"ANCIENT ONE"	"UX 33"
"ANCIENT ONE/BARON MO"	"MX 32"
"ANDERS, JOSHUA RICHI"	"CAGE 5"
"ANDERS, JOSHUA RICHI"	"CAGE 6"
"ANDERS, JOSHUA RICHI"	"CAGE 7"
"ANDERSON, BAXTER"	"PPSM '00"
"ANDERSON, CHARLES"	"ASM 268"
"ANDERSON, CHARLES"	"SOLOA 17/2"
"ANDERSON, CHARLES"	"WOSM 6"
"ANDERSON, CHET"	"IM:IA 1"
"ANDERSON, CHIEF MAGI"	"FF3 12"
"ANDERSON, CHIEF MAGI"	"X 1"
"ANDERSON, CHIEF MAGI"	"X 2"
"ANDERSON, CHIEF MAGI"	"X 3"
"ANDERSON, GINA"	"C2 92"
"ANDERSON, GINA"	"C2 95"
"ANDERSON, MARJORIE"	"IM:IA 1"
"ANDERSON, NICKY"	"IM:IA 1"
"ANDERSSEN, TANYA"	"M/FAN 1"
"ANDERSSEN, TANYA"	"M/FAN 2"
"ANDERSSEN, TANYA"	"M/FAN 4"
"ANDERSSEN, TANYA"	"UX 60"
"ANDERSSEN, TANYA"	"UX 61"
"ANDERSSEN, TANYA"	"UX 62"
"ANDERSSEN, TANYA"	"XFOR 5"
"ANDREWS, DARYL TROOP"	"CAGE 10"
"ANDREWS, DARYL TROOP"	"CAGE 2"
"ANDREWS, DARYL TROOP"	"CAGE 3"
"ANDREWS, DARYL TROOP"	"CAGE 4"
"ANDREWS, DARYL TROOP"	"CAGE 5"
"ANDREWS, DARYL TROOP"	"CAGE 6"
"ANDREWS, DARYL TROOP"	"CAGE 9"
"ANDROMEDA/ANDROMEDA "	"AWC@ 4"
"ANDROMEDA/ANDROMEDA "	"DAMCON3 4"
"ANDROMEDA/ANDROMEDA "	"DEF 146"
"ANDROMEDA/ANDROMEDA "	"DEF 147"
"ANDROMEDA/ANDROMEDA "	"DEF 149"
"ANDROMEDA/ANDROMEDA "	"DEF 150"
"ANDROMEDA/ANDROMEDA "	"DEF 151"
"ANDROMEDA/ANDROMEDA "	"DEF 152"
"ANDROMEDA/ANDROMEDA "	"DEF2 2"
"ANDROMEDA/ANDROMEDA "	"DRSTR3 3"
"ANDROMEDA/ANDROMEDA "	"DRSTR3 4"
"ANDROMEDA/ANDROMEDA "	"FF@ 22"
"ANDROMEDA/ANDROMEDA "	"IM@ 10/2"
"ANDROMEDA/ANDROMEDA "	"N 52"
"ANDROMEDA/ANDROMEDA "	"N 53"
"ANDROMEDA/ANDROMEDA "	"N 55"
"ANDROMEDA/ANDROMEDA "	"N 58"
"ANDROMEDA/ANDROMEDA "	"N 59"
"ANDROMEDA/ANDROMEDA "	"N 60"
"ANDROMEDA/ANDROMEDA "	"N 61"
"ANDROMEDA/ANDROMEDA "	"N 62"
"ANDROMEDA/ANDROMEDA "	"ST2 5/2"
"ANDROMEDA/ANDROMEDA "	"ST2 6/2"
"ANDROMEDA/ANDROMEDA "	"ST2 7"
"ANDROMEDA/ANDROMEDA "	"ST2 7/2"
"ANDROMEDA/ANDROMEDA "	"T@ 14"
"ANDROMEDA/ANDROMEDA "	"XF@ 4"
"ANDROS"	"ASM 411"
"ANDROS"	"PPTSS 234"
"ANDROS"	"S-M 68"
"ANDROS"	"S-M 69"
"ANDWELLA"	"Q 42"
"ANDWELLA"	"Q 43"
"ANELLE"	"A 94"
"ANELLE"	"A 97"
"ANELLE"	"CM 2"
"ANELLE"	"FF 257"
"ANELLE"	"FF 37"
"ANGAR THE SCREAMER/D"	"ASPOT 26"
"ANGAR THE SCREAMER/D"	"ASPOT 28"
"ANGAR THE SCREAMER/D"	"ASPOT 29/2"
"ANGAR THE SCREAMER/D"	"AUP 4"
"ANGAR THE SCREAMER/D"	"DD 100"
"ANGAR THE SCREAMER/D"	"DD 101"
"ANGAR THE SCREAMER/D"	"DD 105"
"ANGAR THE SCREAMER/D"	"DD 106"
"ANGAR THE SCREAMER/D"	"DD 107"
"ANGAR THE SCREAMER/D"	"DEF 43"
"ANGAR THE SCREAMER/D"	"IF 1"
"ANGAR THE SCREAMER/D"	"IF 5"
"ANGAR THE SCREAMER/D"	"IF 6"
"ANGAR THE SCREAMER/D"	"IF 7"
"ANGAR THE SCREAMER/D"	"M/CP 97/4"
"ANGAR THE SCREAMER/D"	"M/PRM 25"
"ANGAR THE SCREAMER/D"	"NF3 33"
"ANGAR THE SCREAMER/D"	"NF3 34"
"ANGAR THE SCREAMER/D"	"NF3 35"
"ANGAR THE SCREAMER/D"	"S-W 34"
"ANGAR THE SCREAMER/D"	"S-W 35"
"ANGAR THE SCREAMER/D"	"S-W 50"
"ANGAR THE SCREAMER/D"	"TB '97"
"ANGEL 2013"	"PHOENIX 1"
"ANGEL DOPPELGANGER"	"FF 370"
"ANGEL II/THOMAS HALL"	"M/SH3 7/2"
"ANGEL II/THOMAS HALL"	"USA 4"
"ANGEL III/HALLOWAY"	"CA 442"
"ANGEL III/HALLOWAY"	"H2 432"
"ANGEL IV"	"S-M 70"
"ANGEL IV"	"S-M 71"
"ANGEL IV"	"S-M 74"
"ANGEL IV"	"SMMM"
"ANGEL/WARREN KENNETH"	"A '99"
"ANGEL/WARREN KENNETH"	"A 111"
"ANGEL/WARREN KENNETH"	"A 151"
"ANGEL/WARREN KENNETH"	"A 211"
"ANGEL/WARREN KENNETH"	"A 214"
"ANGEL/WARREN KENNETH"	"A 3"
"ANGEL/WARREN KENNETH"	"A 53"
"ANGEL/WARREN KENNETH"	"A 60"
"ANGEL/WARREN KENNETH"	"AA2 11"
"ANGEL/WARREN KENNETH"	"AA2 15"
"ANGEL/WARREN KENNETH"	"AF 111"
"ANGEL/WARREN KENNETH"	"ARCHANGEL"
"ANGEL/WARREN KENNETH"	"ASM 282"
"ANGEL/WARREN KENNETH"	"ASM@ 1"
"ANGEL/WARREN KENNETH"	"ASTONX2 1"
"ANGEL/WARREN KENNETH"	"ASTONX2 2"
"ANGEL/WARREN KENNETH"	"ASTONX2 3"
"ANGEL/WARREN KENNETH"	"BSHP 4"
"ANGEL/WARREN KENNETH"	"C2 16"
"ANGEL/WARREN KENNETH"	"C2 20"
"ANGEL/WARREN KENNETH"	"C2 31"
"ANGEL/WARREN KENNETH"	"CA 174"
"ANGEL/WARREN KENNETH"	"CA 175"
"ANGEL/WARREN KENNETH"	"CD 2"
"ANGEL/WARREN KENNETH"	"CD 3"
"ANGEL/WARREN KENNETH"	"CD 4"
"ANGEL/WARREN KENNETH"	"CHAMP 1"
"ANGEL/WARREN KENNETH"	"CHAMP 10"
"ANGEL/WARREN KENNETH"	"CHAMP 11"
"ANGEL/WARREN KENNETH"	"CHAMP 12"
"ANGEL/WARREN KENNETH"	"CHAMP 13"
"ANGEL/WARREN KENNETH"	"CHAMP 14"
"ANGEL/WARREN KENNETH"	"CHAMP 15"
"ANGEL/WARREN KENNETH"	"CHAMP 16"
"ANGEL/WARREN KENNETH"	"CHAMP 17"
"ANGEL/WARREN KENNETH"	"CHAMP 2"
"ANGEL/WARREN KENNETH"	"CHAMP 3"
"ANGEL/WARREN KENNETH"	"CHAMP 4"
"ANGEL/WARREN KENNETH"	"CHAMP 5"
"ANGEL/WARREN KENNETH"	"CHAMP 6"
"ANGEL/WARREN KENNETH"	"CHAMP 7"
"ANGEL/WARREN KENNETH"	"CHAMP 8"
"ANGEL/WARREN KENNETH"	"CHAMP 9"
"ANGEL/WARREN KENNETH"	"COC 1"
"ANGEL/WARREN KENNETH"	"COC 3"
"ANGEL/WARREN KENNETH"	"COH 2"
"ANGEL/WARREN KENNETH"	"COH 3"
"ANGEL/WARREN KENNETH"	"CX 1"
"ANGEL/WARREN KENNETH"	"DAMCON3 4"
"ANGEL/WARREN KENNETH"	"DAZZ 17"
"ANGEL/WARREN KENNETH"	"DAZZ 18"
"ANGEL/WARREN KENNETH"	"DAZZ 19"
"ANGEL/WARREN KENNETH"	"DAZZ 2"
"ANGEL/WARREN KENNETH"	"DAZZ 20"
"ANGEL/WARREN KENNETH"	"DAZZ 21"
"ANGEL/WARREN KENNETH"	"DAZZ 22"
"ANGEL/WARREN KENNETH"	"DAZZ 23"
"ANGEL/WARREN KENNETH"	"DAZZ 24"
"ANGEL/WARREN KENNETH"	"DAZZ 27"
"ANGEL/WARREN KENNETH"	"DAZZ 28"
"ANGEL/WARREN KENNETH"	"DEF 125"
"ANGEL/WARREN KENNETH"	"DEF 126"
"ANGEL/WARREN KENNETH"	"DEF 127"
"ANGEL/WARREN KENNETH"	"DEF 128"
"ANGEL/WARREN KENNETH"	"DEF 129"
"ANGEL/WARREN KENNETH"	"DEF 130"
"ANGEL/WARREN KENNETH"	"DEF 131"
"ANGEL/WARREN KENNETH"	"DEF 132"
"ANGEL/WARREN KENNETH"	"DEF 133"
"ANGEL/WARREN KENNETH"	"DEF 134"
"ANGEL/WARREN KENNETH"	"DEF 135"
"ANGEL/WARREN KENNETH"	"DEF 136"
"ANGEL/WARREN KENNETH"	"DEF 137"
"ANGEL/WARREN KENNETH"	"DEF 138"
"ANGEL/WARREN KENNETH"	"DEF 139"
"ANGEL/WARREN KENNETH"	"DEF 140"
"ANGEL/WARREN KENNETH"	"DEF 141"
"ANGEL/WARREN KENNETH"	"DEF 142"
"ANGEL/WARREN KENNETH"	"DEF 143"
"ANGEL/WARREN KENNETH"	"DEF 144"
"ANGEL/WARREN KENNETH"	"DEF 145"
"ANGEL/WARREN KENNETH"	"DEF 146"
"ANGEL/WARREN KENNETH"	"DEF 149"
"ANGEL/WARREN KENNETH"	"DEF 150"
"ANGEL/WARREN KENNETH"	"DEF 151"
"ANGEL/WARREN KENNETH"	"DEF 152"
"ANGEL/WARREN KENNETH"	"E2 8"
"ANGEL/WARREN KENNETH"	"FF 28"
"ANGEL/WARREN KENNETH"	"FF 36"
"ANGEL/WARREN KENNETH"	"FF 368"
"ANGEL/WARREN KENNETH"	"FF 369"
"ANGEL/WARREN KENNETH"	"FF 370"
"ANGEL/WARREN KENNETH"	"FF@ 3"
"ANGEL/WARREN KENNETH"	"GAM '00"
"ANGEL/WARREN KENNETH"	"GAM3 14"
"ANGEL/WARREN KENNETH"	"GAM3 19"
"ANGEL/WARREN KENNETH"	"GR2 23"
"ANGEL/WARREN KENNETH"	"GR3 9"
"ANGEL/WARREN KENNETH"	"GSX 1"
"ANGEL/WARREN KENNETH"	"GZIL 3"
"ANGEL/WARREN KENNETH"	"H2 278"
"ANGEL/WARREN KENNETH"	"H2 279"
"ANGEL/WARREN KENNETH"	"H@ 7"
"ANGEL/WARREN KENNETH"	"ICE 4"
"ANGEL/WARREN KENNETH"	"IM3 1"
"ANGEL/WARREN KENNETH"	"IM3 37"
"ANGEL/WARREN KENNETH"	"IM@ 4"
"ANGEL/WARREN KENNETH"	"IM@ 8"
"ANGEL/WARREN KENNETH"	"IW 1"
"ANGEL/WARREN KENNETH"	"IW 2"
"ANGEL/WARREN KENNETH"	"IW 3"
"ANGEL/WARREN KENNETH"	"IW 4"
"ANGEL/WARREN KENNETH"	"IW 5"
"ANGEL/WARREN KENNETH"	"IW 6"
"ANGEL/WARREN KENNETH"	"JIM 109"
"ANGEL/WARREN KENNETH"	"KZ 2/2"
"ANGEL/WARREN KENNETH"	"KZ 3/3"
"ANGEL/WARREN KENNETH"	"M/CP 85/3"
"ANGEL/WARREN KENNETH"	"M/CP 89/4"
"ANGEL/WARREN KENNETH"	"M/FAN 1"
"ANGEL/WARREN KENNETH"	"M/FAN 2"
"ANGEL/WARREN KENNETH"	"M/FAN 3"
"ANGEL/WARREN KENNETH"	"M/FAN 32"
"ANGEL/WARREN KENNETH"	"M/FAN 4"
"ANGEL/WARREN KENNETH"	"M/FAN 40"
"ANGEL/WARREN KENNETH"	"M/FAN 50"
"ANGEL/WARREN KENNETH"	"M/GN 1"
"ANGEL/WARREN KENNETH"	"M/H&L 1"
"ANGEL/WARREN KENNETH"	"M/TALES 30/2"
"ANGEL/WARREN KENNETH"	"M/TE 13"
"ANGEL/WARREN KENNETH"	"M/TE 27"
"ANGEL/WARREN KENNETH"	"M/TIO 68"
"ANGEL/WARREN KENNETH"	"M/TU 23"
"ANGEL/WARREN KENNETH"	"M/TU 4"
"ANGEL/WARREN KENNETH"	"MARVELS 2"
"ANGEL/WARREN KENNETH"	"MEPHV. 2"
"ANGEL/WARREN KENNETH"	"MK3 41"
"ANGEL/WARREN KENNETH"	"NM 88"
"ANGEL/WARREN KENNETH"	"NM 95"
"ANGEL/WARREN KENNETH"	"NM 96"
"ANGEL/WARREN KENNETH"	"NM 97"
"ANGEL/WARREN KENNETH"	"NW 27"
"ANGEL/WARREN KENNETH"	"PP 35"
"ANGEL/WARREN KENNETH"	"PPTSS 17"
"ANGEL/WARREN KENNETH"	"PPTSS 18"
"ANGEL/WARREN KENNETH"	"Q 38"
"ANGEL/WARREN KENNETH"	"Q 39"
"ANGEL/WARREN KENNETH"	"Q 40"
"ANGEL/WARREN KENNETH"	"ROM 65"
"ANGEL/WARREN KENNETH"	"ROM 66"
"ANGEL/WARREN KENNETH"	"S-W 37"
"ANGEL/WARREN KENNETH"	"S-W 38"
"ANGEL/WARREN KENNETH"	"SS3 14"
"ANGEL/WARREN KENNETH"	"ST 120"
"ANGEL/WARREN KENNETH"	"ST 156"
"ANGEL/WARREN KENNETH"	"SUB-M2 3"
"ANGEL/WARREN KENNETH"	"SVTU 14"
"ANGEL/WARREN KENNETH"	"T 373"
"ANGEL/WARREN KENNETH"	"T 374"
"ANGEL/WARREN KENNETH"	"TB 27"
"ANGEL/WARREN KENNETH"	"TB 28"
"ANGEL/WARREN KENNETH"	"TB 29"
"ANGEL/WARREN KENNETH"	"TB 30"
"ANGEL/WARREN KENNETH"	"THOR CORPS 3"
"ANGEL/WARREN KENNETH"	"TOS 49"
"ANGEL/WARREN KENNETH"	"UTSM '97"
"ANGEL/WARREN KENNETH"	"UTSM 21"
"ANGEL/WARREN KENNETH"	"UX '99"
"ANGEL/WARREN KENNETH"	"UX 1"
"ANGEL/WARREN KENNETH"	"UX 10"
"ANGEL/WARREN KENNETH"	"UX 11"
"ANGEL/WARREN KENNETH"	"UX 12"
"ANGEL/WARREN KENNETH"	"UX 13"
"ANGEL/WARREN KENNETH"	"UX 132"
"ANGEL/WARREN KENNETH"	"UX 133"
"ANGEL/WARREN KENNETH"	"UX 135"
"ANGEL/WARREN KENNETH"	"UX 136"
"ANGEL/WARREN KENNETH"	"UX 137"
"ANGEL/WARREN KENNETH"	"UX 138"
"ANGEL/WARREN KENNETH"	"UX 139"
"ANGEL/WARREN KENNETH"	"UX 14"
"ANGEL/WARREN KENNETH"	"UX 140"
"ANGEL/WARREN KENNETH"	"UX 141"
"ANGEL/WARREN KENNETH"	"UX 142"
"ANGEL/WARREN KENNETH"	"UX 143"
"ANGEL/WARREN KENNETH"	"UX 144"
"ANGEL/WARREN KENNETH"	"UX 145"
"ANGEL/WARREN KENNETH"	"UX 146"
"ANGEL/WARREN KENNETH"	"UX 147"
"ANGEL/WARREN KENNETH"	"UX 148"
"ANGEL/WARREN KENNETH"	"UX 15"
"ANGEL/WARREN KENNETH"	"UX 16"
"ANGEL/WARREN KENNETH"	"UX 169"
"ANGEL/WARREN KENNETH"	"UX 17"
"ANGEL/WARREN KENNETH"	"UX 170"
"ANGEL/WARREN KENNETH"	"UX 18"
"ANGEL/WARREN KENNETH"	"UX 19"
"ANGEL/WARREN KENNETH"	"UX 2"
"ANGEL/WARREN KENNETH"	"UX 20"
"ANGEL/WARREN KENNETH"	"UX 21"
"ANGEL/WARREN KENNETH"	"UX 210"
"ANGEL/WARREN KENNETH"	"UX 22"
"ANGEL/WARREN KENNETH"	"UX 23"
"ANGEL/WARREN KENNETH"	"UX 24"
"ANGEL/WARREN KENNETH"	"UX 242"
"ANGEL/WARREN KENNETH"	"UX 243"
"ANGEL/WARREN KENNETH"	"UX 25"
"ANGEL/WARREN KENNETH"	"UX 26"
"ANGEL/WARREN KENNETH"	"UX 27"
"ANGEL/WARREN KENNETH"	"UX 272"
